"","telegroup","username","datetime","Symbol","dex","pair","open_price","high_price","low_price","close_price","views","volumeto","volumeto_before","pump_gain","dump_loss","withdata","reprate","withcryptopiadata"
"72","Private Group For Pump","PrivateGroupforpump",2018-09-29 19:30:00,"OXY","Cryptopia","BTC",5.43e-06,5.45e-06,5.43e-06,5.1e-06,NA,0.019945,0.0335531,0.00368324125230215,-0.0642201834862385,TRUE,0.211267605633803,TRUE
"74","Signals Lion","PrivateLionGroup",2018-09-28 20:00:00,"PEPE","Cryptopia","BTC",5.12e-06,5.26e-06,5.15e-06,5.15e-06,NA,0.002523,0.003305,0.0273437499999999,-0.0209125475285171,TRUE,0.214285714285714,TRUE
"75","Pump Machine ??","cryptobullspumpvip",2018-09-28 19:00:00,"BCPT","Cryptopia","BTC",1.392e-05,1.769e-05,1.444e-05,1.701e-05,NA,0.08253,0.0222,0.270833333333333,-0.0384397964951949,TRUE,0.217391304347826,TRUE
"77","Private Group For Pump","PrivateGroupforpump",2018-09-27 20:00:00,"SYNX","Cryptopia","BTC",7.31e-06,7.59e-06,7.59e-06,7.35e-06,NA,0.004326,0.06965,0.0383036935704514,-0.0316205533596838,TRUE,0.220588235294118,TRUE
"79","Crypto Pump Island","crypto_pump_island",2018-09-27 16:00:00,"MATRX","Cryptopia","BTC",1.4e-07,1.7e-07,1.4e-07,1.7e-07,833,0.005062,0.006924,0.214285714285714,0,TRUE,0.223880597014925,TRUE
"81","Cryptopia Pump Squad","cryptoflashsignals",2018-09-25 20:29:00,"SPR","Cryptopia","BTC",1.444e-05,1.549e-05,1.422e-05,1.389e-05,344,0.034146,0.053425,0.0727146814404431,-0.103292446739832,TRUE,0.212121212121212,TRUE
"82","Private Group For Pump","PrivateGroupforpump",2018-09-25 18:00:00,"SPR","Cryptopia","BTC",1.499e-05,1.549e-05,1.444e-05,1.536e-05,NA,0.039435,4.46735,0.0333555703802534,-0.00839251129761139,TRUE,0.2,TRUE
"84","Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-09-24 21:00:00,"ERY","Cryptopia","BTC",5.4e-07,5.4e-07,4.5e-07,4.1e-07,NA,0.00162,0.020182,0,-0.240740740740741,TRUE,0.1875,TRUE
"85","Crypto Yoda Signals","thecryptoyoda",2018-09-24 20:00:00,"YOVI","Cryptopia","BTC",2.77e-06,2.77e-06,2.77e-06,2.77e-06,378,0,0.007797,0,0,TRUE,0.174603174603175,TRUE
"86","Private Group For Pump","PrivateGroupforpump",2018-09-24 18:00:00,"AUR","Cryptopia","BTC",5.159e-05,5.2e-05,5.2e-05,5.2e-05,NA,0.1193099,0.01965,0.00794727660399298,0,TRUE,0.17741935483871,TRUE
"87","Crypto Pump Island","crypto_pump_island",2018-09-24 16:00:00,"WSP","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.180327868852459,FALSE
"88","Donald Pump","DonaldPumpCrypto",2018-09-23 19:00:00,"SIB","Cryptopia","BTC",3.429e-05,3.718e-05,3.714e-05,3.714e-05,468,0.005609,0.134029,0.0842811315252261,-0.00107584722969337,TRUE,0.183333333333333,TRUE
"89","CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-09-23 15:00:00,"MST","Cryptopia","BTC",1.345e-05,1.345e-05,1.345e-05,1.312e-05,411,0.003234,0.007834,0,-0.0245353159851301,TRUE,0.186440677966102,TRUE
"92","Yobit Pumping Crazy Community™","cryptosignalcrazy",2018-09-22 18:00:00,"ALIS","Cryptopia","BTC",6.5e-06,6.5e-06,6.5e-06,6.5e-06,NA,0,0.0042,0,0,TRUE,0.189655172413793,TRUE
"98","CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-09-21 03:00:00,"WW","Cryptopia","BTC",2.5e-07,2.5e-07,2.5e-07,2.5e-07,383,0,0,0,0,TRUE,0.192982456140351,TRUE
"100","Crypto Pump Island","crypto_pump_island",2018-09-20 16:00:00,"SPR","Cryptopia","BTC",1.563e-05,1.563e-05,1.563e-05,1.554e-05,905,0.003001,0.00861,0,-0.00575815738963537,TRUE,0.196428571428571,TRUE
"101","Signals Lion","PrivateLionGroup",2018-09-19 20:11:00,"RC","Cryptopia","BTC",1.558e-05,1.6e-05,1.6e-05,1.6e-05,NA,0.0023518,0,0.0269576379974326,0,TRUE,0.2,TRUE
"107","Crypto Pump Island","crypto_pump_island",2018-09-17 16:00:00,"UBT","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.185185185185185,FALSE
"108","Hit Pump Signals &amp; Strategies","hitpumpsandsignals",2018-09-16 18:00:00,"CNO","Cryptopia","BTC",1.5e-07,1.5e-07,1.5e-07,1.5e-07,1896,0.004016,0.26164,0,0,TRUE,0.188679245283019,TRUE
"112","Cryptopia Pump Squad","cryptoflashsignals",2018-09-13 20:30:00,"BCS","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.192307692307692,FALSE
"114","Crypto Pump Island","crypto_pump_island",2018-09-13 16:00:00,"EVO","Cryptopia","BTC",1.31e-06,1.31e-06,1.31e-06,1.31e-06,931,0,0.04222,0,0,TRUE,0.196078431372549,TRUE
"115","Signalsgram","Signalsgram",2018-09-12 20:30:00,"RC","Cryptopia","BTC",1.652e-05,1.652e-05,1.652e-05,1.515e-05,NA,0.0053354,0.023807,0,-0.0829297820823245,TRUE,0.2,TRUE
"116","Official McAfee Signals","officialmcafeepumpsignals",2018-09-12 19:30:00,"ATH","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.204081632653061,FALSE
"119","Crypto Pump Island","crypto_pump_island",2018-09-10 16:00:00,"FUZZ","Cryptopia","BTC",8.3e-07,8.3e-07,7.1e-07,7.1e-07,931,0.003236,0.0012074,0,-0.144578313253012,TRUE,0.208333333333333,TRUE
