"","Currency","CurrencyLong","MinConfirmation","TxFee","IsActive","IsRestricted","CoinType","BaseAddress","Notice"
"130","ARDR","Ardor",30,2,TRUE,FALSE,"NXT","ARDOR-XK2L-Z7NK-VNKM-AZYVT",NA
"131","XZC","ZCoin",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"132","NEO","Neo",10,0.025,TRUE,FALSE,"ANTSHARES",NA,NA
"133","ZEC","ZCash",30,0.005,TRUE,FALSE,"BITCOINEX","t1KVcK1PEFHRjzJTA3oeXA82tiUGj5V72Cb",NA
"134","ZCL","Zclassic",500,0.002,TRUE,FALSE,"BITCOINEX","t1XN3E2aJgqpPpv8PS8bNBCivGSXVpvttef",NA
"135","IOP","Internet Of People",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"136","GOLOS","Golos",20,0.01,TRUE,FALSE,"STEEM","bittrex",NA
"137","GBG","Gbg",20,0.01,TRUE,FALSE,"STEEM","bittrex",NA
"138","UBQ","Ubiq",80,0.01,TRUE,FALSE,"ETH","0xb3c4e9ca7c12a6277deb9eef2dece65953d1c864",NA
"139","KMD","Komodo",30,0.002,TRUE,FALSE,"BITCOINEX",NA,NA
"140","SIB","Sibcoin",550,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"141","ION","Ion",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"142","LMC","Lomocoin",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"143","QWARK","Qwark",36,0.1,TRUE,FALSE,"ETH_CONTRACT","0xb3c4e9ca7c12a6277deb9eef2dece65953d1c864",NA
"144","CRW","Crown",100,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"145","SWT","Swarm City Token",36,1.8,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"146","TIME","Chronobank Time",36,0.2,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"147","MLN","Melon",36,0.035,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"148","TKS","Tokes",20,0.1,TRUE,FALSE,"WAVES_ASSET","3P31zvGdh6ai6JK6zZ18TjYzJsa1B83YPoj",NA
"149","ARK","Ark",51,0.1,TRUE,FALSE,"LISK","AUexKjGtgsSpVzPLs6jNMM6vJ6znEVTQWK",NA
"150","DYN","Dynamic",10,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"151","MUSIC","Musicoin",80,0.01,TRUE,FALSE,"ETH","0xea62a60b127efd524b6e19791bcb374a49302c71",NA
"152","DTB","Databits",6,5,TRUE,FALSE,"COUNTERPARTY","1AeqgtHedfA2yVXH6GiKLS2JGkfWfgyTC6",NA
"153","INCNT","Incent",20,0.1,TRUE,FALSE,"WAVES_ASSET","3P31zvGdh6ai6JK6zZ18TjYzJsa1B83YPoj",NA
"154","GBYTE","Bytes",1,0.002,TRUE,FALSE,"BYTEBALL",NA,NA
"155","GNT","Golem",36,9,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"156","NXC","Nexium",36,13,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"157","EDG","Edgeless",36,3.5,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"158","MORE","More",36,4,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"159","TRST","Trustcoin",36,7,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"160","WINGS","Wings DAO",36,4,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"161","RLC","iEx.ec",36,3.5,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"162","GNO","Gnosis",36,0.02,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
