"","Symbol","mktcap"
"2031","SURE",38
"27","ZET",37
"247","ZNY",37
"329","FANS",37
"847","IETH",37
"1100","ARCT",37
"18","MEC",36
"370","ELE",36
"449","FRST",36
"594","BRIA",36
"618","DAXX",36
"899","SSS",36
"11","BTB",35
"198","BITGOLD",35
"323","EDRC",35
"1634","PUREX",35
"58","BLC",34
"130","PIGGY",34
"144","TRI",34
"252","HNC",34
"286","DFT",34
"962","SAGA",34
"1390","CJT",34
"9","FRC",33
"56","UTC",33
"142","TRK",33
"237","BTA",33
"760","MCI",33
"1297","BSTN",33
"1357","ORI",33
"1403","TEAM",33
"1589","VIEW",33
"199","UIS",32
"1613","PGN",32
"1947","PHON",32
"84","BTCS",31
"137","BRIT",31
"195","BCF",31
"197","XPY",31
"239","SNRG",31
"567","LINX",31
"846","ITT",31
"1060","CDX",31
"2005","WIX",31
"2085","WTN",31
"34","XJO",30
"38","DEM",30
"185","SPR",30
"436","DIX",30
"895","EPY",30
"1366","BTRN",30
"2087","DDX",30
"73","CASH",29
"131","START",29
"1220","TDX",29
"1344","EARTH",29
"1420","BMH",29
"1591","VIKKY",29
"16","FST",28
"307","RBIES",28
"610","JET",28
"1199","JC",28
"1667","DTEM",28
"1719","PKG",28
"2062","BITS",28
"116","TEK",27
"427","VSL",27
"1986","KNT",27
"55","NYAN",26
"104","BITS",26
"109","TALK",26
"574","UNIFY",26
"1073","UCOM",26
"1379","TNS",26
"1633","VIVID",26
"190","TTC",25
"313","HODL",25
"715","MTNC",25
"743","XBL",25
"800","ECASH",25
"931","VOT",25
"945","CCO",25
"1712","XOV",25
"1818","MORE",25
"1904","BTAD",25
"244","XRA",24
"616","BDL",24
"1425","DTRC",24
"1998","NRP",24
"156","HAL",23
"479","NETKO",23
"516","PROC",23
"724","VIVO",23
"1040","NMS",23
"1620","BWS",23
"1956","DACH",23
"1965","WIT",23
"2092","EZW",23
"173","XMG",22
"186","RBT",22
"467","RNS",22
"655","CRM",22
"765","REC",22
"1987","BENZ",22
